========================================================================================================
  VPNGATE 最优住宅 IP 代理精选 TOP 20 列表 (更新时间: 2026-08-19 11:02:13)
========================================================================================================
排名   | 国家     | IP地址:端口                | 实测延迟       | 官方带宽         | 综合得分       | SOCKS5代理全路径
-----+--------+------------------------+------------+--------------+------------+-----------------------------------------
1    | 🇯🇵 JP  | 219.100.37.28:443      | 1.12 ms    | 363.23 Mbps  | 5747.2     | socks5://vpn:vpn@219.100.37.28:443
2    | 🇯🇵 JP  | 219.100.37.81:443      | 2.50 ms    | 1147.69 Mbps | 5075.6     | socks5://vpn:vpn@219.100.37.81:443
3    | 🇯🇵 JP  | 219.100.37.113:443     | 1.78 ms    | 493.92 Mbps  | 4801.2     | socks5://vpn:vpn@219.100.37.113:443
4    | 🇯🇵 JP  | 219.100.37.7:443       | 2.50 ms    | 320.69 Mbps  | 3745.3     | socks5://vpn:vpn@219.100.37.7:443
5    | 🇯🇵 JP  | 219.100.37.193:443     | 5.86 ms    | 1345.79 Mbps | 3636.4     | socks5://vpn:vpn@219.100.37.193:443
6    | 🇯🇵 JP  | 219.100.37.20:443      | 4.79 ms    | 606.47 Mbps  | 3129.1     | socks5://vpn:vpn@219.100.37.20:443
7    | 🇯🇵 JP  | 219.100.37.13:443      | 3.76 ms    | 312.06 Mbps  | 2901.2     | socks5://vpn:vpn@219.100.37.13:443
8    | 🇯🇵 JP  | 14.10.120.193:7551     | 4.10 ms    | 244.52 Mbps  | 2599.9     | socks5://vpn:vpn@14.10.120.193:7551
9    | 🇯🇵 JP  | 219.100.37.5:443       | 6.36 ms    | 402.12 Mbps  | 2342.8     | socks5://vpn:vpn@219.100.37.5:443
10   | 🇯🇵 JP  | 106.158.139.230:1723   | 6.79 ms    | 415.72 Mbps  | 2267.1     | socks5://vpn:vpn@106.158.139.230:1723
11   | 🇯🇵 JP  | 221.105.196.10:1780    | 9.51 ms    | 552.62 Mbps  | 2212.2     | socks5://vpn:vpn@221.105.196.10:1780
12   | 🇯🇵 JP  | 153.225.227.12:1246    | 4.45 ms    | 52.10 Mbps   | 2093.9     | socks5://vpn:vpn@153.225.227.12:1246
13   | 🇯🇵 JP  | 222.9.204.7:1914       | 66.22 ms   | 892.77 Mbps  | 1998.0     | socks5://vpn:vpn@222.9.204.7:1914
14   | 🇯🇵 JP  | 39.111.147.54:1195     | 41.77 ms   | 842.11 Mbps  | 1985.7     | socks5://vpn:vpn@39.111.147.54:1195
15   | 🇯🇵 JP  | 219.100.37.53:443      | 28.90 ms   | 750.52 Mbps  | 1982.3     | socks5://vpn:vpn@219.100.37.53:443
16   | 🇯🇵 JP  | 14.133.217.76:1205     | 47.25 ms   | 851.25 Mbps  | 1975.1     | socks5://vpn:vpn@14.133.217.76:1205
17   | 🇯🇵 JP  | 221.133.108.33:1732    | 38.53 ms   | 823.32 Mbps  | 1961.5     | socks5://vpn:vpn@221.133.108.33:1732
18   | 🇯🇵 JP  | 36.12.228.153:1418     | 28.00 ms   | 718.68 Mbps  | 1885.3     | socks5://vpn:vpn@36.12.228.153:1418
19   | 🇯🇵 JP  | 219.100.37.208:443     | 7.64 ms    | 277.01 Mbps  | 1871.3     | socks5://vpn:vpn@219.100.37.208:443
20   | 🇯🇵 JP  | 126.42.40.124:1528     | 25.78 ms   | 659.01 Mbps  | 1796.1     | socks5://vpn:vpn@126.42.40.124:1528
========================================================================================================
